base rmr fat,basal rmr fat
base rmr brain,basal rmr brain
base bone mass,baseline bone mass
base carb,baseline carb
base bone mass,baseline bone mass
base deg c,baseline deg c
base gng p,baseline gng p
base molar lipolysis, baseline molar lipolysis
effect of carb intake on lipolysis,eff of carb intake on lipolysis
effect of glycogen on dnl,eff of glycogen on dnl
effect of metabolizable energy intake on thermogenesis,eff of metabolizable energy intake on thermogenesis
effect of obesity on lipolysis,eff of obesity on lipolysis
