acteff;activity_efficiency
acteng_bw;activity_energy_per_body_weight
acteng_bw_at;activity_energy_spent_per_body_weight
acteng_bw_b;baseline_activity_energy_per_body_weight
activ_time;activ_time
activ_time_param;activ_time_param
at;adaptive_thermogenesis
ateff;thermogenesis_effect_on_pae_vs_rmr
atf;thermogenesis_adaptation
bm_b;base_bone_mass
bw;body_weight
bw_b;baseline_bodyweight
c;carb
c_b;base_carb
c_init;carbohydrate_initial
cal_c;cal_dens_c
cal_f;cal_dens_f
cal_p;cal_dens_p
carb_term;carb_term
carbohydrate_intake_param;carbohydrate_intake_param
cell_mass;cell_mass
cell_mass_b;base_cell_mass
ci_0;carbohydrate_intake_zero
ci_b;baseline_carbohydrate_intake
ci_g;ci
ci_input;carbohydrate_intake_input
ci_k;carbohydrate_intake
ciw;constant_intracellular_water
cox_a;actual_carbox
cox_d;desired_carbox
cox_k;pri_carbox_kcal
cox_s;sec_carbox
cox_s_k;sec_carbox_kcal
d_ox_tee;diff_bw_ox_and_tee
dc;glycogenolysis
dc_b;base_deg_c
dci;change_in_carbohydrate_intake
degc_p;deg_cost_p
del_at;delay_in_adaptive_thermogenesis
depc_c;dep_cost_c
depc_f;dep_cost_fat
depc_p;dep_cost_p
df;lipolysis
df_mol_b;base_molar_lipolysis
dnl;dnl
dnl_b;base_dnl
dnl_i;dnl_in
dnl_o;dnl_out
dnleff;efficiency_dnl
dp;proteolysis
dp_b;baseline_proteolysis
dp_mol_b;molar_baseline_proteolysis
dpi;change_in_protein_intake
ec;ec
ecw;extracel_water
ecw_b;baseline_ecw
eff_act_pox;eff_of_physical_activity_on_prot_oxidation
eff_c_dnl;effect_of_glycogen_on_dnl
eff_c_dnl_b;base_effect_of_glycogen_on_dnl
eff_ci_cox;eff_of_carb_intake_on_carb_oxidation
eff_ci_df;effect_of_carb_intake_on_lipolysis
eff_ci_gngp;eff_ci_on_gng_p
eff_dg_cox;eff_of_glycogenolysis_on_carb_oxidation
eff_fox_p;eff_of_possible_fatox
eff_obes_df;effect_of_obesity_on_lipolysis
eff_pi_gngp;eff_pi_on_gng_p
eff_pi_pox;eff_of_prot_intake_on_prot_oxidation
eff_suff_c;eff_of_carb_sufficiency_on_carbox
exog_glycerol_per_kcal_fat_intake;exog_glycerol_per_kcal_fat_intake
f;fat
f_b;baseline_fat
f_init;fat_initial
fat_intake_param;fat_intake_param
fat_term;fat_term
fc;frac_carbox
fc_s;sec_frac_carb
fetw;fraction_extracellular_water_to_total_water
ff;frac_fatox
ff_s;sec_frac_fat
fi_0;fat_intake_zero
fi_b;baseline_fat_intake
fi_g;fi
fi_input;fat_intake_input
fi_k;fat_intake
fi_net_k;net_fat_intake
fiew;fraction_intracellular_water_to_extracellular_water
fox_a;actual_fatox
fox_d;desired_fatox
fox_k;pri_fatox_kcal
fox_p;possible_fatox
fox_s;sec_fatox
fox_s_k;sec_fatox_kcal
fp;frac_protox
fp_s;sec_frac_prot
fw;fraction_water_to_body_weight
